company_name,url,city,state,country,employees,linkedin_url,founded,Industry,GrowjoRanking,Previous Ranking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Binance.US,binance.us,San Francisco,CA,United States,459,http://www.linkedin.com/company/binance-us,2019,Fintech,19,19,79578200,1,,RRE Ventures,,,4500000000,$200M,https://www.growjo.com/company/Binance.US,https://www.indeed.com/jobs?q=company%3A(Binance.US),52%,For Contact Direct Phone Numbers and Emails see Lead411
RAMP,ramp.com,New York,NY,United States,538,http://www.linkedin.com/company/ramp,2006,Fintech,20,20,93281500,21,saas,Founders Fund,,,8100000000,$1.4B,https://www.growjo.com/company/RAMP,https://www.indeed.com/jobs?q=company%3A(RAMP),99%,For Contact Direct Phone Numbers and Emails see Lead411
CAIS,caisgroup.com,New York,NY,United States,299,http://www.linkedin.com/company/cais,2009,Fintech,21,21,51841400,1,"Financial Services, Technology, Finance Technology","Franklin Templeton, Motive Partners. Apollo Global Management",,,1000000000,$406M,https://www.growjo.com/company/CAIS,https://www.indeed.com/jobs?q=company%3A(CAIS),63%,For Contact Direct Phone Numbers and Emails see Lead411
SiFive,sifive.com,San Mateo,CA,United States,577,http://www.linkedin.com/company/sifive,2015,Semiconductors,22,22,211645500,26,"Human Resources Hr,Semiconductors","Sutter Hill Ventures, Osage University Partners, Spark Capital",,,2500000000,$365.5M,https://www.growjo.com/company/SiFive,https://www.indeed.com/jobs?q=company%3A(SiFive),22%,For Contact Direct Phone Numbers and Emails see Lead411
RapidAPI,rapidapi.com,San Francisco,CA,United States,266,http://www.linkedin.com/company/rapidapi,2015,DevOps,23,23,36421000,26,"devops, saas",Softbank,,,1000000000,$122.5M,https://www.growjo.com/company/RapidAPI,https://www.indeed.com/jobs?q=company%3A(RapidAPI),50%,For Contact Direct Phone Numbers and Emails see Lead411
Ava Labs,avalabs.org,Brooklyn,NY,United States,295,http://www.linkedin.com/company/avalabsofficial,2018,Fintech,24,24,41366000,1,,Polychain Capital,,,5250000000,$230M,https://www.growjo.com/company/Ava_Labs,https://www.indeed.com/jobs?q=company%3A(Ava Labs),28%,For Contact Direct Phone Numbers and Emails see Lead411
Tarana Wireless,taranawireless.com,Milpitas,CA,United States,412,http://www.linkedin.com/company/tarana-wireless-inc,2009,Wireless,25,25,182245000,10,"Cleantech,Mobile,Telecommunications,Wind Power","Axon Capital, Khosla Ventures, Movers Lab",,B2B,1000000000,$206.1M,https://www.growjo.com/company/Tarana_Wireless,https://www.indeed.com/jobs?q=company%3A(Tarana Wireless),45%,For Contact Direct Phone Numbers and Emails see Lead411
Cribl,cribl.io,San Francisco,CA,United States,497,http://www.linkedin.com/company/cribl,2017,Analytics,26,26,92811600,10,saas,Tiger,,,2500000000,$402.2M,https://www.growjo.com/company/Cribl,https://www.indeed.com/jobs?q=company%3A(Cribl),49%,For Contact Direct Phone Numbers and Emails see Lead411
Hugging Face,huggingface.co,New York,NY,United States,200,http://www.linkedin.com/company/huggingface,2016,AI,27,27,31605000,1,"Open Source, Machine Learning, Artificial Intelligence, Natural Language Processing, Technology",Lux Capital,,,2000000000,$60.2M,https://www.growjo.com/company/Hugging_Face,https://www.indeed.com/jobs?q=company%3A(Hugging Face),49%,For Contact Direct Phone Numbers and Emails see Lead411
Mysten Labs,mystenlabs.com,San Francisco,CA,United States,117,http://www.linkedin.com/company/mysten-labs/,2021,Fintech,28,28,22919000,1,,FTX Ventures,,,2000000000,,https://www.growjo.com/company/Mysten_Labs,https://www.indeed.com/jobs?q=company%3A(Mysten Labs),255%,For Contact Direct Phone Numbers and Emails see Lead411
Weka.IO,weka.io,Campbell,CA,United States,325,http://www.linkedin.com/company/weka-io,2014,AI,29,29,62795150,6,"Data Storage,Physical Storage,Storage",Generation Investment Management,,B2B,750000000,$158.9M,https://www.growjo.com/company/Weka.IO,https://www.indeed.com/jobs?q=company%3A(Weka.IO),114%,For Contact Direct Phone Numbers and Emails see Lead411
Monte Carlo,montecarlodata.com,San Francisco,CA,United States,294,http://www.linkedin.com/company/monte-carlo-data,,Analytics,30,30,35668500,1,saas,IVP,,,1600000000,$101M,https://www.growjo.com/company/Monte_Carlo,https://www.indeed.com/jobs?q=company%3A(Monte Carlo),95%,For Contact Direct Phone Numbers and Emails see Lead411
Fireblocks,fireblocks.com,New York,NY,United States,567,http://www.linkedin.com/company/fireblocks,2018,Fintech,31,31,92621100,10,saas,"D1 Capital Partners, Spark Capital",,,8000000000,$1B,https://www.growjo.com/company/Fireblocks,https://www.indeed.com/jobs?q=company%3A(Fireblocks),35%,For Contact Direct Phone Numbers and Emails see Lead411
Aptos,aptoslabs.com,Palo Alto,CA,United States,181,http://www.linkedin.com/company/aptoslabs/,2021,Fintech,32,32,28788500,1,,a16z,,,1400000000,,https://www.growjo.com/company/Aptos,https://www.indeed.com/jobs?q=company%3A(Aptos),262%,For Contact Direct Phone Numbers and Emails see Lead411
Rokt,rokt.com,New York,NY,United States,533,http://www.linkedin.com/company/rokt,2010,Martech,33,33,89611200,58,"Marketplace,Advertising,Analytics,Marketing,Marketing Analytics",Square Peg,,B2B,2400000000,$487M,https://www.growjo.com/company/Rokt,https://www.indeed.com/jobs?q=company%3A(Rokt),32%,For Contact Direct Phone Numbers and Emails see Lead411
Thought Machine,thoughtmachine.net,London,,UK,599,http://www.linkedin.com/company/thought-machine,2014,Fintech,34,34,95592900,20,"Banking,Data Storage,Finance,Information Security,Mobile,Payments,Security,Storage",Singaporean investor Temasek,,B2B,2700000000,$562.8M,https://www.growjo.com/company/Thought_Machine,https://www.indeed.com/jobs?q=company%3A(Thought Machine),17%,For Contact Direct Phone Numbers and Emails see Lead411
Coalition,coalitioninc.com,San Francisco,CA,United States,601,http://www.linkedin.com/company/coalitioninc/,2017,Fintech,35,35,98399600,1,,"Allianz X, Valor Equity Partners, Kinetic partners",,,5000000000,$770M,https://www.growjo.com/company/Coalition,https://www.indeed.com/jobs?q=company%3A(Coalition),39%,For Contact Direct Phone Numbers and Emails see Lead411
Pave,pave.com,San Francisco,CA,United States,196,http://www.linkedin.com/company/pave,2019,Fintech,36,36,28788500,1,,Index Ventures,,,1600000000,$63M,https://www.growjo.com/company/Pave,https://www.indeed.com/jobs?q=company%3A(Pave),73%,For Contact Direct Phone Numbers and Emails see Lead411
Our Next Energy,one.ai,Detroit,MI,United States,245,http://www.linkedin.com/company/our-next-energy-inc,2020,Electronics,37,37,67687375,1,,,,,1200000000,,https://www.growjo.com/company/Our_Next_Energy,https://www.indeed.com/jobs?q=company%3A(Our Next Energy),145%,For Contact Direct Phone Numbers and Emails see Lead411
OpenSpace,openspace.ai,SAN FRANCISCO,CA,United States,322,http://www.linkedin.com/company/openspace.ai,2017,Tech Services,38,38,46450750,3,,PSP Growth,,,902000000,$88.5M,https://www.growjo.com/company/OpenSpace,https://www.indeed.com/jobs?q=company%3A(OpenSpace),44%,For Contact Direct Phone Numbers and Emails see Lead411
LinkSquares,linksquares.com,Boston,MA,United States,416,http://www.linkedin.com/company/linksquares,2014,Legaltech,39,39,77698600,7,"saas, legal",G Squared,,,800000000,$61.5M,https://www.growjo.com/company/LinkSquares,https://www.indeed.com/jobs?q=company%3A(LinkSquares),87%,For Contact Direct Phone Numbers and Emails see Lead411
Aiven,aiven.io,Helsinki,,Finland,562,http://www.linkedin.com/company/aiven,2016,Analytics,40,40,104902000,43,saas,Eurazeo,,,3000000000,$420M,https://www.growjo.com/company/Aiven,https://www.indeed.com/jobs?q=company%3A(Aiven),80%,For Contact Direct Phone Numbers and Emails see Lead411
Timescale,timescale.com,New York,NY,United States,153,http://www.linkedin.com/company/timescaledb,2015,Analytics,41,41,24230500,1,saas,Tiger Global,,,1000000000,$181.1M,https://www.growjo.com/company/Timescale,https://www.indeed.com/jobs?q=company%3A(Timescale),55%,For Contact Direct Phone Numbers and Emails see Lead411
Material Bank,materialbank.com,Boca Raton,FL,USA,298,http://www.linkedin.com/company/materialbank,2018,Design,42,42,71575650,1,,"Bain Capital Ventures, SoftBank Group, Fifth Wall Ventures",,,1900000000,$323.2M,https://www.growjo.com/company/Material_Bank,https://www.indeed.com/jobs?q=company%3A(Material Bank),48%,For Contact Direct Phone Numbers and Emails see Lead411
StarkWare,starkware.co,Netanya,,Israel,109,http://www.linkedin.com/company/starkware,2018,Fintech,43,43,21381750,1,,"Greenoaks, Coatue",,,8000000000,$173M,https://www.growjo.com/company/StarkWare,https://www.indeed.com/jobs?q=company%3A(StarkWare),58%,For Contact Direct Phone Numbers and Emails see Lead411
Unit,unit.co,San Francisco,CA,United States,148,http://www.linkedin.com/company/unit-finance,2019,Fintech,44,44,21661250,1,,Insight,,,1200000000,$170M,https://www.growjo.com/company/Unit,https://www.indeed.com/jobs?q=company%3A(Unit),128%,For Contact Direct Phone Numbers and Emails see Lead411
Tailscale,tailscale.com,Toronto,ON,CAN,69,http://www.linkedin.com/company/tailscale,2019,Tech Services,45,45,9082800,1,,"CRV, Insight Partners",,,1000000000,,https://www.growjo.com/company/Tailscale,https://www.indeed.com/jobs?q=company%3A(Tailscale),97%,For Contact Direct Phone Numbers and Emails see Lead411
Chronosphere,chronosphere.io,New York,NY,United States,344,http://www.linkedin.com/company/chronosphereio,2019,Analytics,46,46,55829200,13,"saas, observability, monitoring, cloud-native","GV, Geodesic Capital",,,1600000000,$254.4M,https://www.growjo.com/company/Chronosphere,https://www.indeed.com/jobs?q=company%3A(Chronosphere),71%,For Contact Direct Phone Numbers and Emails see Lead411
Motto Mortgage,mottomortgage.com,Denver,CO,United States,384,http://www.linkedin.com/company/motto-mortgage,2016,Real Estate,47,47,79125000,2,,,,,,,https://www.growjo.com/company/Motto_Mortgage,https://www.indeed.com/jobs?q=company%3A(Motto Mortgage),14%,For Contact Direct Phone Numbers and Emails see Lead411
Eldridge Industries,eldridge.com,Greenwich,CT,United States,103,http://www.linkedin.com/company/eldridge-industries,,Finance,48,48,22680000,1,,,,,3000000000,$1.4B,https://www.growjo.com/company/Eldridge_Industries,https://www.indeed.com/jobs?q=company%3A(Eldridge Industries),26%,For Contact Direct Phone Numbers and Emails see Lead411
Beta Technologies,beta.team,South Burlington,VT,United States,501,http://www.linkedin.com/company/beta-air-llc,2012,Aviation,49,49,171277500,1,,"The Rise Fund, Fidelity Investments. RedBird Capital Partners",,,2400000000,$886M,https://www.growjo.com/company/Beta_Technologies,https://www.indeed.com/jobs?q=company%3A(Beta Technologies),47%,For Contact Direct Phone Numbers and Emails see Lead411
Animoca Brands,animocabrands.com,Southern,,Hong Kong,236,http://www.linkedin.com/company/animoca-brands,2014,AI,50,50,37324000,1,,"Liberty City Ventures, 10T, Kingsway",,,5900000000,$675.3M,https://www.growjo.com/company/Animoca_Brands,https://www.indeed.com/jobs?q=company%3A(Animoca Brands),52%,For Contact Direct Phone Numbers and Emails see Lead411
Flutterwave,flutterwave.com,San Francisco,CA,United States,751,http://www.linkedin.com/company/flutterwave,2016,Fintech,51,51,146675100,38,,B Capital,Y Combinator,,3000000000,$474.5M,https://www.growjo.com/company/Flutterwave,https://www.indeed.com/jobs?q=company%3A(Flutterwave),47%,For Contact Direct Phone Numbers and Emails see Lead411
Oyster,oysterhr.com,New York,,UK,651,http://www.linkedin.com/company/oysterhr,2019,HRTech,52,52,121615200,1,Global,Georgian,,,1000000000,$224M,https://www.growjo.com/company/Oyster,https://www.indeed.com/jobs?q=company%3A(Oyster),89%,For Contact Direct Phone Numbers and Emails see Lead411
Lukka,lukka.tech,New York,NY,United States,179,http://www.linkedin.com/company/lukka-inc,2014,Fintech,53,53,35077250,1,,"Liberty City Ventures, Soros Fund Management, Summer Capital",,,1300000000,$201.3M,https://www.growjo.com/company/Lukka,https://www.indeed.com/jobs?q=company%3A(Lukka),33%,For Contact Direct Phone Numbers and Emails see Lead411
Atmosphere.tv,atmosphere.tv,Austin,TX,United States,655,http://www.linkedin.com/company/atmospheretv,2018,Media,54,54,166103300,2,,"Sageview Capital, Valor Equity Partners",,B2C,1000000000,$148.7M,https://www.growjo.com/company/Atmosphere.tv,https://www.indeed.com/jobs?q=company%3A(Atmosphere.tv),59%,For Contact Direct Phone Numbers and Emails see Lead411
Stability AI,stability.ai,London,,UK,138,http://www.linkedin.com/company/stability-ai,,AI,55,55,16800000,1,,"Coatue Management, Lightspeed Venture Partners",,,1000000000,,https://www.growjo.com/company/Stability_AI,https://www.indeed.com/jobs?q=company%3A(Stability AI),331%,For Contact Direct Phone Numbers and Emails see Lead411
BlueVoyant,bluevoyant.com,New York,NY,United States,584,http://www.linkedin.com/company/bluevoyant,2017,IT Security,56,56,158816040,52,,Liberty Strategic Capital,,,1000000000,$525.5M,https://www.growjo.com/company/BlueVoyant,https://www.indeed.com/jobs?q=company%3A(BlueVoyant),24%,For Contact Direct Phone Numbers and Emails see Lead411
Envoy,envoy.com,San Francisco,CA,United States,331,http://www.linkedin.com/company/envoy-inc,2013,HRTech,57,57,61874400,20,saas,"Andreessen Horowitz, Initialized Capital, TriplePoint Capital",,,1400000000,$170.2M,https://www.growjo.com/company/Envoy,https://www.indeed.com/jobs?q=company%3A(Envoy),17%,For Contact Direct Phone Numbers and Emails see Lead411
SparkCognition,sparkcognition.com,Austin,TX,United States,359,http://www.linkedin.com/company/sparkcognition,2013,AI,58,59,67030600,1,,"March Capital, Doha Venture Capital, B. Riley Venture Capital",,,1400000000,$286.6M,https://www.growjo.com/company/SparkCognition,https://www.indeed.com/jobs?q=company%3A(SparkCognition),14%,For Contact Direct Phone Numbers and Emails see Lead411
Vendr,vendr.com,Boston,MA,United States,452,http://www.linkedin.com/company/vendr-services,,Tech Services,59,60,87471250,1,,"Craft Ventures, SoftBank Vision Fund 2",,,1000000000,$132M,https://www.growjo.com/company/Vendr,https://www.indeed.com/jobs?q=company%3A(Vendr),71%,For Contact Direct Phone Numbers and Emails see Lead411
Finexio,finexio.com,Orlando,FL,United States,85,http://www.linkedin.com/company/finexio,2015,Real Estate Tech,60,61,12460000,9,"Healthcare, Real Estate, Legal, Property And Casualty Insurance Companies",JP Morgan,,,100000000,$48.5M,https://www.growjo.com/company/Finexio,https://www.indeed.com/jobs?q=company%3A(Finexio),31%,For Contact Direct Phone Numbers and Emails see Lead411
NexHealth,nexhealth.com,San Francisco,CA,United States,275,http://www.linkedin.com/company/nexhealth-inc,2015,Digital Health,61,62,43494500,21,saas,Buckley Ventures,,,1000000000,$51.8M,https://www.growjo.com/company/NexHealth,https://www.indeed.com/jobs?q=company%3A(NexHealth),102%,For Contact Direct Phone Numbers and Emails see Lead411
CaptivateIQ,captivateiq.com,San Francisco,CA,United States,326,http://www.linkedin.com/company/captivateiq,2017,Salestech,62,63,60807600,21,saas,"ICONIQ Growth, Sequoia, Accel",,,1250000000,$164.6M,https://www.growjo.com/company/CaptivateIQ,https://www.indeed.com/jobs?q=company%3A(CaptivateIQ),52%,For Contact Direct Phone Numbers and Emails see Lead411
Zip,ziphq.com,San Francisco,CA,United States,640,http://www.linkedin.com/company/theziphq,2020,Fintech,63,64,113920000,1,,Y Combinator,,,1500000000,$81M,https://www.growjo.com/company/Zip,https://www.indeed.com/jobs?q=company%3A(Zip),104%,For Contact Direct Phone Numbers and Emails see Lead411
Imply,imply.io,Burlingame,CA,United States,251,http://www.linkedin.com/company/imply,,DevOps,64,65,39732000,24,"Analytics,Software Development","Andreessen Horowitz, Bessemer Venture Partners, Khosla Ventures,",,B2B,1100000000,$215.3M,https://www.growjo.com/company/Imply,https://www.indeed.com/jobs?q=company%3A(Imply),14%,For Contact Direct Phone Numbers and Emails see Lead411
Docker,docker.com,San Francisco,CA,United States,644,http://www.linkedin.com/company/docker,2013,Business Intelligence,65,66,107569000,1,"Enterprise Software, saas",Bain Capital,,B2B,2100000000,$435.9M,https://www.growjo.com/company/Docker,https://www.indeed.com/jobs?q=company%3A(Docker),45%,For Contact Direct Phone Numbers and Emails see Lead411
Liquid Death Mountain Water,liquiddeath.com,Santa Monica,CA,United States,210,http://www.linkedin.com/company/liquid-death-spring-water,2017,Food,66,67,64145250,1,"Food and Beverages, Ecommerce",,,,525000000,$130.6M,https://www.growjo.com/company/Liquid_Death_Mountain_Water,https://www.indeed.com/jobs?q=company%3A(Liquid Death Mountain Water),62%,For Contact Direct Phone Numbers and Emails see Lead411
Replicant,replicant.ai,San Francisco,CA,United States,152,http://www.linkedin.com/company/replicant,2017,AI,67,68,24080000,8,"Machine Learning, Artificial Intelligence, Call Center Automation",Stripes,,,550000000,$35M,https://www.growjo.com/company/Replicant,https://www.indeed.com/jobs?q=company%3A(Replicant),50%,For Contact Direct Phone Numbers and Emails see Lead411
Jasper,jasper.ai,Austin,TX,United States,411,http://www.linkedin.com/company/heyjasperai,2020,AI,68,69,65608200,,,Insight Partners,,,1500000000,,https://www.growjo.com/company/Jasper,https://www.indeed.com/jobs?q=company%3A(Jasper),378%,For Contact Direct Phone Numbers and Emails see Lead411
Material Security,material.security,Redwood City,CA,United States,64,http://www.linkedin.com/company/materialsecurity,2017,Tech Services,69,70,8452050,1,,Founders Fund,,,1100000000,,https://www.growjo.com/company/Material_Security,https://www.indeed.com/jobs?q=company%3A(Material Security),88%,For Contact Direct Phone Numbers and Emails see Lead411
Branch,ourbranch.com,Columbus,OH,United States,430,http://www.linkedin.com/company/branch-insurance,2018,Fintech,70,71,74625200,7,,Weatherford Capital,,,1050000000,$609.1M,https://www.growjo.com/company/Branch,https://www.indeed.com/jobs?q=company%3A(Branch),73%,For Contact Direct Phone Numbers and Emails see Lead411
Retool,retool.com,San Francisco,CA,United States,345,http://www.linkedin.com/company/tryretool,2017,DevOps,71,72,64363600,1,,Sequoia,,,3200000000,$96M,https://www.growjo.com/company/Retool,https://www.indeed.com/jobs?q=company%3A(Retool),116%,For Contact Direct Phone Numbers and Emails see Lead411
Glia,glia.com,New York,NY,United States,338,http://www.linkedin.com/company/gliainc,2012,AI,72,73,63119000,1,saas,Insight,,,1000000000,$107M,https://www.growjo.com/company/Glia,https://www.indeed.com/jobs?q=company%3A(Glia),56%,For Contact Direct Phone Numbers and Emails see Lead411
Paradox,paradox.ai,Scottsdale,AZ,United States,528,http://www.linkedin.com/company/paradoxolivia,2016,HRTech,73,74,98501200,18,saas,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures",,,1500000000,$253.3M,https://www.growjo.com/company/Paradox,https://www.indeed.com/jobs?q=company%3A(Paradox),56%,For Contact Direct Phone Numbers and Emails see Lead411
Lev,levcapital.com,New York,NY,United States,122,http://www.linkedin.com/company/levcapital,2019,Real Estate Tech,74,75,17920000,1,"Finance Technology, Commercial Real Estate, Mortgage","Parker89, Cross River Digital Ventures",,,400000000,$147M,https://www.growjo.com/company/Lev,https://www.indeed.com/jobs?q=company%3A(Lev),37%,For Contact Direct Phone Numbers and Emails see Lead411
Bank Novo,banknovo.com,Miami,FL,United States,350,http://www.linkedin.com/company/banknovo,2016,Fintech,75,76,55308500,1,"Financial Services, Small and Medium Businesses, Banking, Sme Banking, Fin Tech",,,,700000000,$46M,https://www.growjo.com/company/Bank_Novo,https://www.indeed.com/jobs?q=company%3A(Bank Novo),66%,For Contact Direct Phone Numbers and Emails see Lead411
Island,island.io,Dallas,TX,United States,166,http://www.linkedin.com/company/island-io,2020,IT Security,76,77,38158200,1,,Insight Partners,,,1300000000,$100M,https://www.growjo.com/company/Island,https://www.indeed.com/jobs?q=company%3A(Island),75%,For Contact Direct Phone Numbers and Emails see Lead411
MoEngage,moengage.com,San Francisco,CA,United States,786,http://www.linkedin.com/company/moengage,2014,Martech,77,78,165165000,43,saas saas,,,,700000000,$133M,https://www.growjo.com/company/MoEngage,https://www.indeed.com/jobs?q=company%3A(MoEngage),43%,For Contact Direct Phone Numbers and Emails see Lead411
Unlearn.AI,unlearn.ai,San Francisco,CA,United States,72,http://www.linkedin.com/company/unlearn-ai,2017,AI,78,79,10640000,1,,"Radical Ventures, Wittington Ventures",,,265000000,$15M,https://www.growjo.com/company/Unlearn.AI,https://www.indeed.com/jobs?q=company%3A(Unlearn.AI),85%,For Contact Direct Phone Numbers and Emails see Lead411
Mercer Advisors,merceradvisors.com,Denver,CO,United States,743,http://www.linkedin.com/company/mercer-advisors,1985,Investments,79,80,253195800,4,Finance,,,,,$8.7M,https://www.growjo.com/company/Mercer_Advisors,https://www.indeed.com/jobs?q=company%3A(Mercer Advisors),27%,For Contact Direct Phone Numbers and Emails see Lead411
Amberdata,amberdata.io,Palo Alto,CA,United States,62,http://www.linkedin.com/company/amberdata,2017,Analytics,80,81,7917000,1,,Knollwood Investment Advisory,,,330000000,,https://www.growjo.com/company/Amberdata,https://www.indeed.com/jobs?q=company%3A(Amberdata),82%,For Contact Direct Phone Numbers and Emails see Lead411
Bitwise Industries,bitwiseindustries.com,Fresno,CA,United States,509,http://www.linkedin.com/company/bitwise-industries,2013,EdTech,81,82,94945200,1,"Technology, Education Technology","Kapor Center, Motley Fool",,,600000000,$78.4M,https://www.growjo.com/company/Bitwise_Industries,https://www.indeed.com/jobs?q=company%3A(Bitwise Industries),27%,For Contact Direct Phone Numbers and Emails see Lead411
